Sample_ID,extraction_ID,PMEL_ID,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,sample_volume_liters,sample_collect_device,filter_type,filter_size_micrometer,filter_preservation,preservation_volume_milliliters,time_of_day,project,collected_by,extraction_by,extraction_date,extraction_kit,plate_or_vial,longmire_volume_input_microliter,elution_volume_microliters,extraction_plate_ID,extraction_well_ID
e04103_A,e04103,E1880,2023,9,14,DBO_1.1,DBO_1,NA,-175.0599833,62.01003333,sample,74.2,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_07,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,A1
e04104_A,e04104,E1881,2023,9,14,DBO_1.1,DBO_1,NA,-175.0599833,62.01003333,sample,30,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_07,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,B1
e04105_A,e04105,E1882,2023,9,14,DBO_1.1,DBO_1,NA,-175.0599833,62.01003333,sample,10,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_07,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,C1
e04106_A,e04106,E1883,2023,9,14,DBO_1.2,DBO_1,NA,-175.21135,62.0504,sample,75,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,D1
e04107_A,e04107,E1884,2023,9,14,DBO_1.2,DBO_1,NA,-175.21135,62.0504,sample,30,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,E1
e04108_A,e04108,E1885,2023,9,14,DBO_1.2,DBO_1,NA,-175.21135,62.0504,sample,10,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,F1
e04109_A,e04109,E1886,2023,9,15,DBO_1.4,DBO_1,NA,-174.57,62.39,sample,66.2,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,G1
e04110_A,e04110,E1887,2023,9,15,DBO_1.4,DBO_1,NA,-174.57,62.39,sample,30,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,H1
e04111_A,e04111,E1888,2023,9,15,DBO_1.4,DBO_1,NA,-174.57,62.39,sample,10,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,A2
e04112_A,e04112,E1889,2023,9,15,DBO_1.6,DBO_1,NA,-173.55,62.56,sample,61,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,B2
e04113_A,e04113,E1890,2023,9,15,DBO_1.6,DBO_1,NA,-173.55,62.56,sample,30,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,C2
e04114_A,e04114,E1891,2023,9,15,DBO_1.6,DBO_1,NA,-173.55,62.56,sample,10,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,D2
e04115_A,e04115,E1892,2023,9,16,DBO_1.8,DBO_1,NA,-173.46,63.03,sample,66,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,E2
e04116_A,e04116,E1893,2023,9,16,DBO_1.8,DBO_1,NA,-173.46,63.03,sample,30,1,niskin bottle,Sterivex,0.22,95% ethanol,NA,,DBO,Matt Galaska,KL,2024_05_08,Qiagen DNeasy Blood and Tissue w/ EconoSpin column,vial,NA,100,34_2024,F2
