"","sample_ID","output_read_count","output_asv_count","output_num_tax_assigned"
"1","e04103_A",572,3,3
"2","e04103_B",795,2,2
"3","e04103_C",2467,2,2
"4","e04104_A",88,1,1
"5","e04104_B",2331,1,1
"6","e04104_C",9,2,2
"7","e04105_A",15654,2,2
"8","e04105_B",11310,3,3
"9","e04105_C",9114,4,3
"10","e04106_A",9880,5,4
"11","e04106_B",11357,5,4
"12","e04106_C",20478,9,7
"13","e04107_A",17214,4,3
"14","e04107_B",24894,4,4
"15","e04107_C",15984,6,5
"16","e04108_A",10964,5,4
"17","e04108_B",8002,5,5
"18","e04108_C",9162,3,3
"19","e04109_A",4621,5,5
"20","e04109_B",9402,5,5
"21","e04109_C",9771,11,9
"22","e04110_A",6647,7,6
"23","e04110_B",9113,5,4
"24","e04110_C",12168,6,6
"25","e04111_A",6331,9,8
"26","e04111_B",4243,6,6
"27","e04111_C",4431,3,3
"28","e04112_A",10383,8,7
"29","e04112_B",17641,12,11
"30","e04112_C",8181,5,5
"31","e04113_A",4771,16,13
"32","e04113_B",2,1,1
"33","e04113_C",6392,7,7
"34","e04114_A",24514,5,5
"35","e04114_B",19886,6,5
"36","e04114_C",43001,9,5
"37","e04115_A",9200,10,9
"38","e04115_B",13280,3,3
"39","e04115_C",7699,5,4
"40","e04116_A",2224,5,5
"41","e04116_B",1083,4,4
"42","e04116_C",6449,8,8
"43","e04117_A",22821,8,6
"44","e04117_B",6366,4,4
"45","e04117_C",20320,11,10
"46","e04118_A",27,1,1
"47","e04118_B",279,2,2
"48","e04118_C",570,3,3
"49","e04119_A",324,1,1
"50","e04119_B",1182,1,1
"51","e04119_C",587,1,1
"52","e04120_A",642,2,2
"53","e04120_B",244,1,1
"54","e04120_C",312,2,2
"55","e04121_A",478,2,2
"56","e04121_B",284,2,2
"57","e04121_C",582,2,2
"58","e04122_A",317,1,1
"59","e04122_B",0,0,0
"60","e04122_C",15,1,1
"61","e04123_A",649,2,2
"62","e04123_B",763,3,3
"63","e04123_C",201,2,2
"64","e04124_A",207,2,2
"65","e04124_B",2040,6,5
"66","e04124_C",3340,3,3
"67","e04125_A",2066,3,2
"68","e04125_B",2983,3,3
"69","e04125_C",1784,3,3
"70","e04126_A",291,1,1
"71","e04126_B",0,0,0
"72","e04126_C",5,1,1
"73","e04127_A",852,3,3
"74","e04127_B",1123,2,2
"75","e04127_C",531,6,5
"76","e04128_A",90,1,1
"77","e04128_B",25,1,1
"78","e04128_C",222,1,1
"79","e04129_A",8261,7,7
"80","e04129_B",6441,10,8
"81","e04129_C",4880,9,9
"82","e04130_A",2637,6,6
"83","e04130_B",6153,8,7
"84","e04130_C",7788,9,8
"85","e04131_A",1051,1,1
"86","e04131_B",0,0,0
"87","e04131_C",592,3,3
"88","e04132_A",2162,4,4
"89","e04132_B",3804,5,5
"90","e04132_C",5162,5,4
"91","e04133_A",2758,5,5
"92","e04133_B",3087,4,4
"93","e04133_C",3353,7,5
"94","e04134_A",2333,6,4
"95","e04134_B",4862,5,5
"96","e04134_C",2835,7,6
"97","e04135_A",4,1,1
"98","e04135_B",675,10,9
"99","e04135_C",1028,8,7
"100","e04136_A",923,7,7
"101","e04136_B",899,7,7
"102","e04136_C",1188,8,6
"103","e04137_A",10419,10,9
"104","e04137_B",9101,5,5
"105","e04137_C",8480,12,11
"106","e04138_A",10937,9,9
"107","e04138_B",5849,4,4
"108","e04138_C",4983,5,5
"109","e04139_A",3110,3,3
"110","e04139_B",2313,2,2
"111","e04139_C",51,1,1
"112","e04140_A",485,4,4
"113","e04140_B",770,2,2
"114","e04140_C",233,2,2
"115","e04141_A",21300,5,5
"116","e04141_B",20610,6,6
"117","e04141_C",15047,7,6
"118","e04142_A",8,1,1
"119","e04142_B",5143,5,5
"120","e04142_C",4685,5,5
"121","e04143_A",2243,2,2
"122","e04143_B",5474,3,3
"123","e04143_C",3615,2,2
"124","e04144_A",3565,2,2
"125","e04144_B",5125,3,3
"126","e04144_C",25,2,2
"127","e04145_A",0,0,0
"128","e04145_B",0,0,0
"129","e04145_C",38,1,1
"130","e04146_A",725,2,2
"131","e04146_B",1846,3,3
"132","e04146_C",931,4,4
"133","e04147_A",34,1,1
"134","e04147_B",0,0,0
"135","e04147_C",126,1,1
"136","e04148_A",3709,3,3
"137","e04148_B",939,1,1
"138","e04148_C",1349,1,1
"139","e04149_A",2007,3,3
"140","e04149_B",102,2,2
"141","e04149_C",0,0,0
"142","e04150_A",0,0,0
"143","e04150_B",0,0,0
"144","e04150_C",1336,1,1
"145","e04151_A",0,0,0
"146","e04151_B",0,0,0
"147","e04151_C",471,1,1
"148","e04152_A",482,1,1
"149","e04152_B",2059,2,2
"150","e04152_C",257,2,2
"151","e04153_A",2072,4,3
"152","e04153_B",1242,2,2
"153","e04153_C",2523,3,3
"154","e04154_A",0,0,0
"155","e04154_B",0,0,0
"156","e04154_C",0,0,0
"157","e04155_A",1574,3,3
"158","e04155_B",1501,5,5
"159","e04155_C",5,1,1
"160","e04156_A",1074,1,1
"161","e04156_B",1343,1,1
"162","e04156_C",0,0,0
"163","e04157_A",404,1,1
"164","e04157_B",0,0,0
"165","e04157_C",10,1,1
"166","e04158_A",909,2,2
"167","e04158_B",1636,2,2
"168","e04158_C",1910,4,4
"169","e04159_A",2368,2,2
"170","e04159_B",493,1,1
"171","e04159_C",9046,4,4
"172","e04160_A",0,0,0
"173","e04160_B",1974,3,3
"174","e04160_C",8,1,1
"175","e04161_A",125,1,1
"176","e04161_B",222,2,2
"177","e04161_C",1165,2,2
"178","e04162_A",4194,1,1
"179","e04162_B",2837,1,1
"180","e04162_C",8069,5,5
"181","e04163_A",0,0,0
"182","e04163_B",0,0,0
"183","e04163_C",1476,3,3
"184","e04164_A",520,1,1
"185","e04164_B",2320,3,3
"186","e04164_C",283,3,3
"187","e04165_A",2885,1,1
"188","e04165_B",4,1,1
"189","e04165_C",30,1,1
"190","e04166_A",2,1,1
"191","e04166_B",757,1,1
"192","e04166_C",676,1,1
"193","e04167_A",190,1,1
"194","e04167_B",6,1,1
"195","e04167_C",0,0,0
"196","e04168_A",760,2,2
"197","e04168_B",0,0,0
"198","e04168_C",684,4,4
"199","e04169_A",508,1,1
"200","e04169_B",3442,4,4
"201","e04169_C",1289,3,2
"202","e04170_A",18133,3,3
"203","e04170_B",20847,4,4
"204","e04170_C",17847,4,4
"205","e04171_A",6539,4,4
"206","e04171_B",7672,1,1
"207","e04171_C",3813,2,2
"208","e04172_A",0,0,0
"209","e04172_B",0,0,0
"210","e04172_C",0,0,0
"211","e04173_A",339,1,1
"212","e04173_B",0,0,0
"213","e04173_C",242,1,1
"214","e04174_A",0,0,0
"215","e04174_B",0,0,0
"216","e04174_C",3,1,1
"217","e04175_A",0,0,0
"218","e04175_B",213,1,1
"219","e04175_C",603,2,2
"220","e04176_A",1682,1,1
"221","e04176_B",317,2,2
"222","e04176_C",45,1,1
"223","e04177_A",599,3,3
"224","e04177_B",49,1,1
"225","e04177_C",255,1,1
"226","e04178_A",229,3,2
"227","e04178_B",1137,3,3
"228","e04178_C",204,2,2
"229","e04179_A",2720,3,3
"230","e04179_B",2106,2,2
"231","e04179_C",936,1,1
"232","e04180_A",0,0,0
"233","e04180_B",0,0,0
"234","e04180_C",3,1,1
"235","e04181_A",624,2,2
"236","e04181_B",323,1,1
"237","e04181_C",554,3,3
"238","e04182_A",0,0,0
