"","sample_ID","taxon","taxonomic_level","species","genus","family","order","class","kingdom","reads"
"1","NC34_C","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Eukaryota",20131
"2","PC34_A","Acipenser baerii","species","Acipenser baerii","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Eukaryota",49116
"3","PC34_B","Acipenser baerii","species","Acipenser baerii","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Eukaryota",55610
"4","PC34_C","Acipenser baerii","species","Acipenser baerii","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Eukaryota",51093
"5","PC35_B","Acipenser baerii","species","Acipenser baerii","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Eukaryota",8
"6","e04103_A","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",239
"7","e04103_A","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",311
"8","e04103_A","Lycodes palearis","species","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Eukaryota",22
"9","e04103_B","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",395
"10","e04103_B","Lycodes palearis","species","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Eukaryota",400
"11","e04103_C","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",1831
"12","e04103_C","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",636
"13","e04104_A","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",88
"14","e04104_B","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",2331
"15","e04104_C","Balaenoptera acutorostrata","species","Balaenoptera acutorostrata","Balaenoptera","Balaenopteridae","Artiodactyla","Mammalia","Eukaryota",2
"16","e04104_C","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",7
"17","e04105_A","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",14036
"18","e04105_A","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",1618
"19","e04105_B","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",10618
"20","e04105_B","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",384
"21","e04105_B","Phocoenoides dalli","species","Phocoenoides dalli","Phocoenoides","Phocoenidae","Artiodactyla","Mammalia","Eukaryota",308
"22","e04105_C","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",8364
"23","e04105_C","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",216
"24","e04105_C","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",534
"25","e04106_A","Anisarchus medius","species","Anisarchus medius","Anisarchus","Stichaeidae","Perciformes","Actinopteri","Eukaryota",582
"26","e04106_A","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",6955
"27","e04106_A","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",1542
"28","e04106_A","Orcinus orca","species","Orcinus orca","Orcinus","Delphinidae","Artiodactyla","Mammalia","Eukaryota",801
"29","e04106_B","Anoplarchus","genus",NA,"Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Eukaryota",496
"30","e04106_B","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",7800
"31","e04106_B","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",1153
"32","e04106_B","Pholis laeta","species","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Eukaryota",1908
"33","e04106_C","Ammodytes personatus","species","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Eukaryota",551
"34","e04106_C","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",14066
"35","e04106_C","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",3616
"36","e04106_C","Hexagrammos","genus",NA,"Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Eukaryota",916
"37","e04106_C","Oncorhynchus kisutch","species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",215
"38","e04106_C","Pholis laeta","species","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Eukaryota",604
"39","e04106_C","Xiphister","genus",NA,"Xiphister","Stichaeidae","Perciformes","Actinopteri","Eukaryota",510
"40","e04107_A","Ammodytes hexapterus","species","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Eukaryota",3
"41","e04107_A","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",9624
"42","e04107_A","Pholis laeta","species","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Eukaryota",7587
"43","e04107_B","Enophrys bison","species","Enophrys bison","Enophrys","Cottidae","Perciformes","Actinopteri","Eukaryota",4008
"44","e04107_B","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",12196
"45","e04107_B","Oncorhynchus kisutch","species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",8686
"46","e04107_B","Stichaeidae","family",NA,NA,"Stichaeidae","Perciformes","Actinopteri","Eukaryota",4
"47","e04107_C","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Eukaryota",7490
"48","e04107_C","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",259
"49","e04107_C","Hexagrammos","genus",NA,"Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Eukaryota",640
"50","e04107_C","Pholis laeta","species","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Eukaryota",6019
