"qseqid","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"ASV124","Uria","genus",NA,"Uria","Alcidae","Charadriiformes","Aves","Chordata","Eukaryota"
"ASV527","Bos","genus",NA,"Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"ASV573","Bos","genus",NA,"Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"ASV61","Bos","genus",NA,"Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"ASV110","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"ASV115","Odobenus rosmarus","species","Odobenus rosmarus","Odobenus","Odobenidae","Carnivora","Mammalia","Chordata","Eukaryota"
"ASV13","Odobenus rosmarus","species","Odobenus rosmarus","Odobenus","Odobenidae","Carnivora","Mammalia","Chordata","Eukaryota"
"ASV138","Balaena mysticetus","species","Balaena mysticetus","Balaena","Balaenidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"ASV147","Delphinapterus leucas","species","Delphinapterus leucas","Delphinapterus","Monodontidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"ASV152","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"ASV154","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"ASV156","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"ASV158","Canis lupus","species","Canis lupus","Canis","Canidae","Carnivora","Mammalia","Chordata","Eukaryota"
"ASV168","Phocoenoides dalli","species","Phocoenoides dalli","Phocoenoides","Phocoenidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"ASV17","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"ASV173","Erignathus barbatus","species","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota"
"ASV176","Pusa hispida","species","Pusa hispida","Pusa","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota"
"ASV179","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"ASV187","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"ASV19","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
