"qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","top_perc","diff","taxonomic_level","taxon"
"ASV124","Uria aalge","Uria","Alcidae","Charadriiformes","Aves","Chordata","Eukaryota",100,100,0,"genus","Uria"
"ASV124","Uria lomvia","Uria","Alcidae","Charadriiformes","Aves","Chordata","Eukaryota",100,100,0,"genus","Uria"
"ASV527","Bos primigenius","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",99.379,99.379,0,"genus","Bos"
"ASV527","Bos taurus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",99.379,99.379,0,"genus","Bos"
"ASV573","Bos frontalis","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"genus","Bos"
"ASV573","Bos indicus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"genus","Bos"
"ASV573","Bos taurus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"genus","Bos"
"ASV61","Bos primigenius","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"genus","Bos"
"ASV61","Bos taurus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"genus","Bos"
"ASV110","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",99.387,99.387,0,"species","Homo sapiens"
"ASV115","Odobenus rosmarus","Odobenus","Odobenidae","Carnivora","Mammalia","Chordata","Eukaryota",98.758,98.758,0,"species","Odobenus rosmarus"
"ASV13","Odobenus rosmarus","Odobenus","Odobenidae","Carnivora","Mammalia","Chordata","Eukaryota",99.379,99.379,0,"species","Odobenus rosmarus"
"ASV138","Balaena mysticetus","Balaena","Balaenidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"species","Balaena mysticetus"
"ASV147","Delphinapterus leucas","Delphinapterus","Monodontidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"species","Delphinapterus leucas"
"ASV152","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV154","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV156","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV158","Canis lupus","Canis","Canidae","Carnivora","Mammalia","Chordata","Eukaryota",100,100,0,"species","Canis lupus"
"ASV168","Phocoenoides dalli","Phocoenoides","Phocoenidae","Artiodactyla","Mammalia","Chordata","Eukaryota",99.39,99.39,0,"species","Phocoenoides dalli"
"ASV17","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV173","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota",99.379,99.379,0,"species","Erignathus barbatus"
"ASV176","Pusa hispida","Pusa","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota",100,100,0,"species","Pusa hispida"
"ASV179","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV187","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",99.394,99.394,0,"species","Homo sapiens"
"ASV19","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV201","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV208","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV21","Phocoena phocoena","Phocoena","Phocoenidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"species","Phocoena phocoena"
"ASV222","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV225","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",98.773,98.773,0,"species","Homo sapiens"
"ASV229","Asterias amurensis","Asterias","Asteriidae","Forcipulatida","Asteroidea","Echinodermata","Eukaryota",100,100,0,"species","Asterias amurensis"
"ASV23","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota",100,100,0,"species","Erignathus barbatus"
"ASV239","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota",99.379,99.379,0,"species","Erignathus barbatus"
"ASV244","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV251","Lamna ditropis","Lamna","Alopiidae","Lamniformes","Chondrichthyes","Chordata","Eukaryota",100,100,0,"species","Lamna ditropis"
"ASV254","Balaenoptera physalus","Balaenoptera","Balaenopteridae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"species","Balaenoptera physalus"
"ASV258","Canis lupus","Canis","Canidae","Carnivora","Mammalia","Chordata","Eukaryota",100,100,0,"species","Canis lupus"
"ASV261","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",99.394,99.394,0,"species","Homo sapiens"
"ASV264","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",98.788,98.788,0,"species","Homo sapiens"
"ASV28","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota",100,100,0,"species","Erignathus barbatus"
"ASV282","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV292","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",99.387,99.387,0,"species","Homo sapiens"
"ASV295","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",98.78,98.78,0,"species","Homo sapiens"
"ASV306","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV32","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV322","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV35","Phocoena phocoena","Phocoena","Phocoenidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"species","Phocoena phocoena"
"ASV352","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV354","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",99.39,99.39,0,"species","Homo sapiens"
"ASV367","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV370","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota",99.379,99.379,0,"species","Erignathus barbatus"
"ASV373","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",99.39,99.39,0,"species","Homo sapiens"
"ASV377","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV401","Megaptera novaeangliae","Megaptera","Balaenopteridae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,100,0,"species","Megaptera novaeangliae"
"ASV415","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV417","Callorhinus ursinus","Callorhinus","Otariidae","Carnivora","Mammalia","Chordata","Eukaryota",99.379,99.379,0,"species","Callorhinus ursinus"
"ASV419","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV42","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV427","Aethia cristatella","Aethia","Alcidae","Charadriiformes","Aves","Chordata","Eukaryota",99.422,99.422,0,"species","Aethia cristatella"
"ASV440","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",99.39,99.39,0,"species","Homo sapiens"
"ASV442","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
"ASV443","Phocoena phocoena","Phocoena","Phocoenidae","Artiodactyla","Mammalia","Chordata","Eukaryota",99.387,99.387,0,"species","Phocoena phocoena"
"ASV445","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota",100,100,0,"species","Homo sapiens"
