"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e04103-A",8547,7277,7222,7231,7090,7086,7086
"e04103-B",9295,7867,7815,7812,7662,7662,7662
"e04103-C",10548,8970,8887,8901,8275,8275,8275
"e04104-A",18497,16007,15931,15962,15731,15731,15717
"e04104-B",14141,12052,11972,11996,11858,11858,11858
"e04104-C",17788,15279,15232,15249,15093,15093,15093
"e04105-A",20645,17500,17447,17428,17238,17230,17230
"e04105-B",14218,12020,11964,11971,11843,11828,11828
"e04105-C",11183,9406,9381,9371,9130,9122,9114
"e04106-A",16373,13944,13862,13845,13565,13565,13560
"e04106-B",15346,13174,13014,13114,12538,12538,12516
"e04106-C",26178,22350,22224,22283,21843,21843,21799
"e04107-A",33119,28060,27936,27908,27749,27746,27740
"e04107-B",50167,42643,42447,42461,39575,39572,39466
"e04107-C",33265,28255,28108,28072,27749,27720,27695
"e04108-A",15596,13135,13048,13057,12676,12676,12635
"e04108-B",13335,11295,11232,11245,9340,9323,9296
"e04108-C",13292,11257,11130,11211,10850,10850,10850
"e04109-A",10393,8782,8705,8709,8512,8512,8512
"e04109-B",12894,10845,10736,10767,9484,9436,9422
"e04109-C",14315,12119,12018,12024,10739,10739,10739
"e04110-A",11537,9772,9638,9676,9299,9299,9285
"e04110-B",16788,14365,14167,14232,13960,13953,13882
"e04110-C",14994,12712,12613,12613,12457,12457,12430
"e04111-A",28173,24163,24085,24087,23913,23913,23904
"e04111-B",21438,18156,18083,18097,17927,17927,17916
"e04111-C",17810,15270,14994,15011,14728,14724,14591
"e04112-A",20146,17291,17156,17185,16952,16952,16922
"e04112-B",25463,21912,21697,21796,21188,21188,20441
"e04112-C",16745,14220,14124,14161,12399,12385,12376
"e04113-A",8259,7018,6943,6935,6371,6371,6371
"e04113-B",31,27,27,24,17,17,17
"e04113-C",13564,11636,11540,11552,10667,10667,10667
"e04114-A",33524,28898,28786,28813,28619,28619,28608
"e04114-B",62942,54281,54095,54065,53511,53511,53490
"e04114-C",52615,45000,44808,44750,43943,43785,43165
"e04115-A",20229,17184,17017,17062,16293,16290,16290
"e04115-B",19598,16774,16666,16637,15932,15929,15918
"e04115-C",18314,15765,15644,15652,14881,14881,14621
"e04116-A",6789,5769,5706,5712,4883,4874,4874
"e04116-B",4899,4192,4108,4131,2975,2897,2897
"e04116-C",14758,12528,12392,12434,10684,10644,10633
"e04117-A",29027,24588,24412,24435,23773,23773,23739
"e04117-B",27869,23553,23442,23454,23268,23226,23192
"e04117-C",26635,22287,22125,22097,20546,20546,20413
"e04118-A",8935,7606,7557,7574,7468,7468,7468
"e04118-B",7523,6339,6275,6309,6195,6195,6195
"e04118-C",10069,8526,8461,8478,8310,8310,8310
"e04119-A",522,434,389,400,341,333,333
"e04119-B",5244,4575,4528,4551,4405,4398,4398
"e04119-C",2621,2260,2216,2226,2080,2080,2080
"e04120-A",2885,2476,2406,2452,2087,2083,2083
"e04120-B",1436,1222,1158,1186,682,682,682
"e04120-C",1931,1674,1610,1611,993,989,989
"e04121-A",14149,12254,12218,12225,12048,12048,12038
"e04121-B",9845,8470,8421,8426,8208,8182,8182
"e04121-C",14107,11989,11937,11939,11805,11801,11801
"e04122-A",1231,1049,1007,1026,700,700,700
"e04122-B",1293,1077,1036,1053,639,634,634
"e04122-C",775,658,619,624,43,25,25
"e04123-A",1803,1541,1493,1501,1063,1063,1063
"e04123-B",1802,1554,1490,1518,767,767,767
"e04123-C",1317,1115,1065,1066,459,446,446
"e04124-A",6758,5771,5692,5716,5170,5170,5170
"e04124-B",9419,7974,7829,7875,6791,6786,6593
"e04124-C",9746,8469,8371,8403,7777,7777,7772
"e04125-A",5038,4314,4199,4244,3470,3470,3470
"e04125-B",5396,4636,4545,4559,3959,3941,3941
"e04125-C",5728,4855,4786,4772,4199,4197,4197
"e04126-A",8923,7693,7638,7672,7507,7507,7507
"e04126-B",7726,6585,6543,6557,6447,6381,6381
"e04126-C",6762,5866,5800,5842,5467,5443,5443
"e04127-A",8410,7164,7129,7128,6831,6831,6831
"e04127-B",8544,7250,7170,7200,6926,6921,6921
"e04127-C",7034,5974,5938,5936,5606,5606,5606
"e04128-A",1918,1646,1466,1482,1290,1287,1287
"e04128-B",4417,3782,3727,3737,3411,3384,3384
"e04128-C",872,752,707,726,302,299,299
"e04129-A",9908,8549,8442,8476,8280,8280,8261
"e04129-B",10825,9266,9018,9104,8405,8396,8382
"e04129-C",6067,5248,5163,5191,4891,4891,4891
"e04130-A",7449,6402,6318,6344,6115,6113,6113
"e04130-B",12713,10906,10768,10800,10116,10111,10108
"e04130-C",11712,10076,9945,9987,9646,9646,9630
"e04131-A",3311,2899,2843,2845,2593,2584,2584
"e04131-B",526,426,387,394,36,8,8
"e04131-C",1346,1126,1089,1104,615,594,594
"e04132-A",5869,4947,4835,4895,4284,4282,4282
"e04132-B",6475,5492,5367,5416,4475,4458,4427
"e04132-C",8455,7177,7083,7078,6105,6102,6060
"e04133-A",3823,3247,3170,3196,2769,2758,2758
"e04133-B",6687,5684,5584,5605,4967,4937,4937
"e04133-C",8212,6949,6864,6863,5104,5104,4635
"e04134-A",3945,3292,3237,3250,2566,2564,2564
"e04134-B",6128,5203,5129,5148,4948,4909,4879
"e04134-C",3943,3287,3218,3219,2843,2843,2843
"e04135-A",25,22,13,11,4,4,4
"e04135-B",978,826,825,822,790,790,790
"e04135-C",3751,3193,3182,3180,3172,3154,3154
"e04136-A",2622,2227,2205,2210,1659,1659,1659
"e04136-B",1384,1188,1162,1170,1122,1119,1119
"e04136-C",1620,1354,1339,1344,1291,1291,1291
"e04137-A",14042,12000,11880,11901,11471,11465,11458
"e04137-B",16971,14514,14374,14405,13850,13847,13839
"e04137-C",12399,10623,10526,10532,10048,10031,10018
"e04138-A",22424,19241,19054,19135,18638,18638,18504
"e04138-B",21001,18074,17939,18018,17204,17204,17199
"e04138-C",17108,14670,14545,14588,14099,14093,14071
"e04139-A",4567,3955,3878,3906,3139,3117,3117
"e04139-B",4571,3906,3836,3856,2942,2896,2896
"e04139-C",2283,1912,1874,1866,1000,919,919
"e04140-A",1365,1151,1111,1119,542,542,542
"e04140-B",1950,1670,1573,1613,782,779,779
"e04140-C",1238,1077,1022,1016,288,276,276
"e04141-A",26115,22175,22038,22006,21403,21403,21300
"e04141-B",26120,22078,21969,21949,21035,21033,20620
"e04141-C",21962,18563,18466,18422,15078,15078,15047
"e04142-A",11488,9811,9770,9747,9578,9578,9549
"e04142-B",22534,19186,19093,19120,17933,17915,17851
"e04142-C",17223,14716,14628,14641,14469,14469,14425
"e04143-A",5494,4632,4574,4596,4045,4040,4040
"e04143-B",7399,6221,6158,6166,5925,5910,5896
"e04143-C",4641,3922,3877,3879,3626,3623,3618
"e04144-A",5726,4818,4758,4778,3569,3565,3565
"e04144-B",8865,7635,7555,7415,6316,6300,6300
"e04144-C",328,288,256,262,75,28,28
"e04145-A",167,152,131,131,23,10,10
"e04145-B",3750,3191,3151,3164,3021,2976,2976
"e04145-C",2394,2019,1972,1933,1806,1791,1791
"e04146-A",2001,1706,1672,1686,1584,1584,1584
"e04146-B",2442,2118,2077,2081,1915,1848,1848
"e04146-C",3441,2994,2948,2951,1883,1883,1883
"e04147-A",132,108,99,103,95,95,95
"e04147-B",230,197,185,193,178,173,173
"e04147-C",140,131,126,128,126,126,126
"e04148-A",4621,3984,3949,3950,3709,3709,3709
"e04148-B",1300,1070,1047,1055,963,954,954
"e04148-C",3604,3020,2984,2995,2910,2901,2901
