"","total","spread","parent_id","curated","rank"
"ASV1",1713189,400,"ASV1","parent",1
"ASV6",128071,154,"ASV6","parent",6
"ASV3",209191,109,"ASV3","parent",3
"ASV2",246676,105,"ASV2","parent",2
"ASV4",166252,80,"ASV4","parent",4
"ASV7",122722,61,"ASV7","parent",7
"ASV13",37429,43,"ASV13","parent",13
"ASV18",30174,40,"ASV18","parent",18
"ASV9",58906,38,"ASV9","parent",9
"ASV8",61027,32,"ASV8","parent",8
"ASV21",26635,31,"ASV21","parent",21
"ASV22",25134,29,"ASV22","parent",22
"ASV218",770,26,"ASV1","merged",218
"ASV11",50334,25,"ASV11","parent",11
"ASV14",32062,24,"ASV14","parent",14
"ASV27",16892,23,"ASV27","parent",27
"ASV37",10543,23,"ASV37","parent",37
"ASV12",42043,22,"ASV12","parent",12
"ASV20",29232,22,"ASV20","parent",20
"ASV23",22824,22,"ASV23","parent",23
"ASV15",31924,21,"ASV15","parent",15
"ASV16",31581,19,"ASV16","parent",16
"ASV34",11668,19,"ASV34","parent",34
"ASV229",719,18,"ASV229","parent",229
"ASV10",54196,17,"ASV10","parent",10
"ASV43",9079,17,"ASV43","parent",43
"ASV5",157757,16,"ASV5","parent",5
"ASV26",21711,16,"ASV26","parent",26
"ASV30",14973,16,"ASV30","parent",30
"ASV28",16271,15,"ASV28","parent",28
"ASV33",13166,15,"ASV33","parent",33
"ASV41",10000,15,"ASV41","parent",41
"ASV47",8185,15,"ASV47","parent",47
"ASV36",10563,14,"ASV36","parent",36
"ASV40",10214,14,"ASV40","parent",40
"ASV149",1402,14,"ASV149","parent",149
"ASV46",8303,13,"ASV46","parent",46
"ASV32",14135,12,"ASV32","parent",32
"ASV156",1316,12,"ASV156","parent",156
"ASV29",16060,11,"ASV29","parent",29
"ASV25",21866,10,"ASV25","parent",25
"ASV31",14445,10,"ASV31","parent",31
"ASV48",8023,10,"ASV48","parent",48
"ASV45",8397,9,"ASV45","parent",45
"ASV52",7072,9,"ASV52","parent",52
"ASV53",7063,9,"ASV53","parent",53
"ASV56",6117,9,"ASV56","parent",56
"ASV61",5595,9,"ASV61","parent",61
"ASV67",4929,9,"ASV67","parent",67
"ASV68",4885,9,"ASV68","parent",68
"ASV77",3723,9,"ASV77","parent",77
"ASV35",10748,8,"ASV35","parent",35
"ASV55",6219,8,"ASV55","parent",55
"ASV57",6106,8,"ASV57","parent",57
"ASV54",6406,7,"ASV54","parent",54
"ASV70",4391,7,"ASV70","parent",70
"ASV83",3493,7,"ASV83","parent",83
"ASV408",232,7,"ASV408","parent",407
"ASV17",31215,6,"ASV17","parent",17
"ASV58",6084,6,"ASV58","parent",58
"ASV85",3219,6,"ASV85","parent",85
"ASV64",5371,5,"ASV64","parent",64
"ASV110",2065,5,"ASV110","parent",110
"ASV147",1410,5,"ASV147","parent",147
"ASV640",16,5,"ASV640","parent",640
"ASV42",9134,4,"ASV42","parent",42
"ASV50",7178,4,"ASV50","parent",50
"ASV89",2989,4,"ASV89","parent",89
"ASV92",2789,4,"ASV92","parent",92
"ASV96",2481,4,"ASV96","parent",96
"ASV138",1521,4,"ASV138","parent",138
"ASV168",1193,4,"ASV168","parent",168
"ASV199",922,4,"ASV199","parent",199
"ASV200",905,4,"ASV200","parent",200
"ASV212",838,4,"ASV212","parent",212
"ASV359",342,4,"ASV4","merged",359
"ASV635",18,4,"ASV635","parent",634
"ASV651",12,4,"ASV651","parent",650
"ASV39",10271,3,"ASV39","parent",39
"ASV49",7964,3,"ASV49","parent",49
"ASV82",3561,3,"ASV82","parent",82
"ASV90",2844,3,"ASV90","parent",90
"ASV101",2315,3,"ASV101","parent",101
"ASV106",2139,3,"ASV1","merged",106
"ASV108",2124,3,"ASV108","parent",108
"ASV143",1464,3,"ASV143","parent",143
"ASV153",1335,3,"ASV1","merged",153
"ASV208",866,3,"ASV208","parent",208
"ASV244",641,3,"ASV1","merged",244
"ASV249",628,3,"ASV249","parent",249
"ASV251",624,3,"ASV251","parent",251
"ASV254",615,3,"ASV254","parent",254
"ASV328",407,3,"ASV3","merged",327
"ASV556",76,3,"ASV556","parent",555
"ASV567",71,3,"ASV567","parent",567
